operator,train,station,km,time_s,direction
TRANSAP,60511,CONCEPCIÓN,0.0,2160,CC->CW
TRANSAP,60511,Biobío,3.1,2880,CC->CW
TRANSAP,60511,Boca Sur,7.4,3180,CC->CW
TRANSAP,60511,Lomas Coloradas,11.5,3480,CC->CW
TRANSAP,60511,Escuadrón,19.7,4020,CC->CW
TRANSAP,60511,Lagunillas,24.5,4380,CC->CW
TRANSAP,60511,CORONEL,27.7,4740,CC->CW
TRANSAP,60513,CONCEPCIÓN,0.0,45060,CC->CW
TRANSAP,60513,Biobío,3.1,45780,CC->CW
TRANSAP,60513,Boca Sur,7.4,46080,CC->CW
TRANSAP,60513,Lomas Coloradas,11.5,46380,CC->CW
TRANSAP,60513,Escuadrón,19.7,46920,CC->CW
TRANSAP,60513,Lagunillas,24.5,47280,CC->CW
TRANSAP,60513,CORONEL,27.7,47640,CC->CW
TRANSAP,60510,CONCEPCIÓN,0.0,41400,CW->CC
TRANSAP,60510,Biobío,3.1,39660,CW->CC
TRANSAP,60510,Boca Sur,7.4,39360,CW->CC
TRANSAP,60510,Lomas Coloradas,11.5,39060,CW->CC
TRANSAP,60510,Escuadrón,19.7,38520,CW->CC
TRANSAP,60510,Lagunillas,24.5,38160,CW->CC
TRANSAP,60510,CORONEL,27.7,37800,CW->CC
TRANSAP,60512,CONCEPCIÓN,0.0,82980,CW->CC
TRANSAP,60512,Biobío,3.1,82260,CW->CC
TRANSAP,60512,Boca Sur,7.4,81960,CW->CC
TRANSAP,60512,Lomas Coloradas,11.5,81660,CW->CC
TRANSAP,60512,Escuadrón,19.7,81120,CW->CC
TRANSAP,60512,Lagunillas,24.5,80760,CW->CC
TRANSAP,60512,CORONEL,27.7,80400,CW->CC
FEPASA,50511,CONCEPCIÓN,0.0,12000,CC->CW
FEPASA,50511,Biobío,3.1,12660,CC->CW
FEPASA,50511,Boca Sur,7.4,12960,CC->CW
FEPASA,50511,Lomas Coloradas,11.5,13260,CC->CW
FEPASA,50511,Escuadrón,19.7,13860,CC->CW
FEPASA,50511,Lagunillas,24.5,14340,CC->CW
FEPASA,50511,CORONEL,27.7,14820,CC->CW
FEPASA,50512,CONCEPCIÓN,0.0,42300,CC->CW
FEPASA,50512,Concepción,0.0,46620,CC->CW
FEPASA,50512,Biobío,3.1,42900,CC->CW
FEPASA,50512,Lomas Coloradas,11.5,43260,CC->CW
FEPASA,50512,Escuadrón,19.7,43680,CC->CW
FEPASA,50512,Lagunillas,24.5,44280,CC->CW
FEPASA,50512,CORONEL,27.7,44880,CC->CW
FEPASA,50484,CONCEPCIÓN,0.0,42120,CC->CW
FEPASA,50484,Biobío,3.1,43320,CC->CW
FEPASA,50484,Boca Sur,7.4,43620,CC->CW
FEPASA,50484,Lomas Coloradas,11.5,43920,CC->CW
FEPASA,50484,Escuadrón,19.7,44520,CC->CW
FEPASA,50484,Lagunillas,24.5,44880,CC->CW
FEPASA,50484,CORONEL,27.7,45300,CC->CW
FEPASA,50483,CONCEPCIÓN,0.0,76680,CC->CW
