//
// File: C:\Users\fesjmu\OneDrive - Empresa de los Ferrocarriles del Estado\Escritorio\JMU\1.2.1 Opentrack\2 Export\Export Metrolinx-format Infraestructure.txt
//
// Produced by OpenTrack: Wed Jun 17 11:44:32 2026
// Infrastructure Export (Metrolinx-Format)
//
// Document Name	Line Name	Track Name	Edge Name	Edge ID	Edge Length	Vertex1 ID	Vertex2 ID	Vertex1 Name	Vertex2 Name	Vertex1 km	Vertex2 km	Vertex1 Sig.	Vertex2 Sig.	Vertex1 Switch Time	Vertex2 Switch Time	Vertex1 Stat. ID	Vertex2 Stat. ID	Speed 1-1	Speed 1-2	Speed 1-3	Speed 1-4	Speed 2-1	Speed 2-2	Speed 2-3	Speed 2-4	Gradient	Curve Radius
K05-CC				3223	43	3162	3140			67.294	67.337							80	65	84	68	100	65	105	68	-1.14	562.00
K05-CC				3224	52	3142	3168			67.337	67.389							80	65	84	68	100	65	105	68	-1.14	
K05-CC				3225	43	3158	3136			67.294	67.337							80	65	84	68	100	65	105	68	-1.14	562.00
K05-CC				3226	52	3138	3164			67.337	67.389							80	65	84	68	100	65	105	68	-1.14	
K05-CC				3227	238	3134	3160			67.056	67.294							80	65	84	68	70	65	74	68	-1.14	562.00
K05-CC				3228	238	3130	3156			67.056	67.294							80	65	84	68	70	65	74	68	-1.14	562.00
K05-CC				3229	198	3126	3132			66.858	67.056							80	65	84	68	70	65	74	68	-1.14	313.00
K05-CC				3230	198	3122	3128			66.858	67.056							80	65	84	68	70	65	74	68	-1.14	313.00
K05-CC				3233	163	3110	3116			66.600	66.763							80	65	84	68	70	65	74	68	-1.14	391.00
K05-CC				3234	163	3106	3112			66.600	66.763							80	65	84	68	70	65	74	68	-1.14	391.00
K05-CC				3237	56	3094	3100			66.429	66.485							80	65	84	68	70	65	74	68	-1.14	
K05-CC				3238	56	3090	3096			66.429	66.485							80	65	84	68	70	65	74	68	-1.14	
K05-CC				3241	158	3078	3084			66.045	66.203							80	65	84	68	70	65	74	68	-1.14	400.00
K05-CC				3242	158	3074	3080			66.045	66.203							80	65	84	68	70	65	74	68	-1.14	400.00
K05-CC				3247	212	3054	3060			65.303	65.515							80	65	84	68	70	65	74	68	0.00	450.00
K05-CC				3248	212	3050	3056			65.303	65.515							80	65	84	68	70	65	74	68	0.00	450.00
K05-CC				3249	181	3215	3044			65.100	65.281							80	65	84	68	70	65	74	68	-1.74	298.00
K05-CC				3250	181	3219	3040			65.100	65.281							80	65	84	68	70	65	74	68	-1.74	298.00
K05-CC				3251	141	3070	3036			65.759	65.900							80	65	84	68	70	65	74	68	0.00	483.00
K05-CC				3252	145	3038	3076			65.900	66.045							80	65	84	68	70	65	74	68	-1.14	483.00
K05-CC				3253	141	3066	3032			65.759	65.900							80	65	84	68	70	65	74	68	0.00	483.00
K05-CC				3254	145	3034	3072			65.900	66.045							80	65	84	68	70	65	74	68	-1.14	483.00
K05-CC				3255	19	3046	3028			65.281	65.300							80	65	84	68	70	65	74	68	-1.74	
K05-CC				3256	3	3030	3052			65.300	65.303							80	65	84	68	70	65	74	68	0.00	
K05-CC				3257	19	3042	3024			65.281	65.300							80	65	84	68	70	65	74	68	-1.74	
K05-CC				3258	3	3026	3048			65.300	65.303							80	65	84	68	70	65	74	68	0.00	
K05-CC				3532	112	3086	3526			66.203	66.315							80	65	84	68	70	65	74	68	-1.14	356.00
K05-CC				3533	114	3527	3092			66.315	66.429							80	65	84	68	70	65	74	68	-1.14	356.00
K05-CC				3544	112	3082	3538			66.203	66.315							80	65	84	68	70	65	74	68	-1.14	356.00
K05-CC				3545	114	3539	3088			66.315	66.429							80	65	84	68	70	65	74	68	-1.14	356.00
K05-CC		Principal ramal		4504	21	4468	4470			0.602	0.623					CC	CC	50	40	53	42	50	40	53	42	4.20	
K05-CC				4505	22	4464	4454	0-24		0.743	0.765	Main/Distant Sig. 3 Asp.				CC		40	40	42	42	40	40	42	42	4.20	
K05-CC				4506	35	4456	4458											40	40	42	42	40	40	42	42	4.20	
K05-CC		Principal ramal		4507	45	4450	4462	0-23		0.698			Distant Signal 2 Aspect			CC	CC	40	40	42	42	40	40	42	42	0.00	
K05-CC				4509	150	4460	4442			0.800	0.950							40	40	42	42	40	40	42	42	0.00	280.00
K05-CC		CC-PRR		4510	55	4440	4416										CC	20	20	30	20	20	20	30	20	-4.93	500.00
K05-CC		Principal ramal		4511	96	4379	4466			0.506	0.602					CC	CC	50	40	53	42	50	40	53	42	-4.20	
K05-CC		Desvío 1		4513	30	4361	4381									CC	CC	50	50	53	53	50	50	53	53	5.11	
K05-CC		CC-PRR		4516	13	4414	4267			129.215	129.228		Main/Distant Sig. 3 Asp.			CC	CC	20	20	30	20	20	20	30	20	0.00	500.00
K05-CC		Principal ramal Rucapequén		4517	210	4422	4263				129.501					CC	CC	20	20	30	20	20	20	30	20	0.00	180.00
K05-CC		Principal ramal Rucapequén		4518	31	4261	4259				129.532					CC	CC	20	20	30	20	20	20	30	20	-3.75	
K05-CC		Principal ramal		4519	154	4249	4277									CC	CC	50	40	53	42	50	40	53	42	-1.30	250.00
K05-CC		Principal ramal		4520	13	4375	4251			0.063	0.076					CC	CC	50	40	53	42	50	40	53	42	0.00	250.00
K05-CC		Travesía		4522	16	4404	4241			129.392						CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		Travesía		4523	52	4243	4247			129.408	129.460					CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		Travesía		4524	84	4418	4237			129.291						CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		Travesía		4525	17	4239	4402			129.375						CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		Principal oriente		4526	54	4235	4385			71.290	71.344					CC	CC	40	40	42	42	40	40	42	42	0.00	980.00
K05-CC		Principal oriente		4527	29	4231	4233			71.261	71.290					CC	CC	40	40	42	42	40	40	42	42	0.00	980.00
K05-CC		Principal poniente		4528	54	4227	4389			71.290	71.344					CC	CC	40	40	42	42	40	40	42	42	0.00	980.00
K05-CC		Principal poniente		4529	29	4223	4225			71.261	71.290					CC	CC	40	40	42	42	40	40	42	42	0.00	980.00
K05-CC		Principal ramal		4530	55	4279	4217			0.230						CC	CC	50	40	53	42	50	40	53	42	-1.30	
K05-CC		Principal ramal		4531	32	4219	4255			0.285	0.317					CC	CC	50	40	53	42	50	40	53	42	-1.30	300.00
K05-CC		Principal ramal		4532	6	4212	4377	A-12		0.500				25.0		CC	CC	50	40	53	42	50	40	53	42	-4.20	
K05-CC		Principal ramal Rucapequén		4535	46	4204	4424				129.291					CC	CC	20	20	30	20	20	20	30	20	0.00	180.00
K05-CC		Travesía		4536	46	4204	4420									CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		Principal ramal Rucapequén		4537	17	4265	4206		A-14		129.245	Main Signal			25.0	CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		CC-PT		4538	38	4200	4214	A-10		0.462				25.0		CC	CC	20	20	20	20	20	20	20	20	0.00	
K05-CC		Travesía		4540	21	4346	4202		A-10	129.685	129.706					CC	CC	20	20	30	20	20	20	30	20	0.00	
K05-CC		Principal poniente		4541	71	4323	4196	71-21		71.608	71.679					CC	CC	100	65	105	68	100	65	105	68	0.00	980.00
K05-CC		Principal oriente		4542	71	4319	4192			71.608	71.679					CC	CC	100	65	105	68	100	65	105	68	0.00	980.00
K05-CC		Principal oriente		4543	99	4194	4188			71.679	71.778					CC	CC	100	65	105	68	100	65	105	68	4.30	980.00
K05-CC		Principal poniente		4545	99	4198	4184			71.679	71.778					CC	CC	100	65	105	68	100	65	105	68	4.30	980.00
K05-CC		Principal poniente		4547	45	4315	4180		A-6	71.461	71.506					CC	CC	40	40	42	42	40	40	42	42	0.00	980.00
K05-CC		Variante norte		4548	47	4180	4271	A-6		71.506	71.459					CC	CC	20	20	20	20	20	20	20	20	0.00	300.00
K05-CC		Principal oriente		4550	53	4178	4229			71.208	71.261					CC	CC	40	40	42	42	40	40	42	42	-5.44	980.00
K05-CC		Principal poniente		4551	98	4391	4172		B-8	71.344	71.442					CC	CC	40	40	42	42	40	40	42	42	0.00	980.00
