order,station,seg_time_s,dwell_s,cum_pos_min,km
0,CONCEPCIÓN,0,0,0.0,0.0
1,Juan Pablo II,340,30,5.666666666666667,3.871287128712872
2,Diagonal Bio Bio,145,20,8.083333333333334,5.522277227722773
3,Alborada,150,20,10.583333333333334,7.230198019801981
4,Costa Mar,95,25,12.166666666666666,8.311881188118813
5,El Parque,135,20,14.416666666666666,9.849009900990099
6,LOMAS COLORADAS,145,30,16.833333333333332,11.5
7,Card. Raúl Silva Henriquez,155,20,19.416666666666668,13.51686746987952
8,Hito Galvarino,350,20,25.25,18.071084337349397
9,Los Canelos,220,20,28.916666666666668,20.933734939759034
10,Huinca,100,20,30.583333333333332,22.234939759036145
11,Cristo Redentor,120,20,32.583333333333336,23.79638554216867
12,Desvío Lagunillas (HDLC),0,0,32.583333333333336,23.79638554216867
13,Laguna Quiñenco,150,20,35.083333333333336,25.748192771084337
14,CORONEL,150,0,37.583333333333336,27.7
